epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7146,1.17751,3.93176,1.08533,0.37257,0.15375,0.23817,0.18188,0.9108,2.73611,0.96736,0.00330484,0.00330484,0.00330484
2,81.2382,1.14372,2.42247,1.09608,0.46075,0.62961,0.54511,0.43275,0.85251,1.56933,0.99083,0.0066316,0.0066316,0.0066316
3,100.556,1.1204,1.88441,1.09068,0.49537,0.65243,0.62418,0.49096,0.85167,1.72064,0.9746,0.00995177,0.00995177,0.00995177
4,119.778,1.06973,1.67468,1.08347,0.57345,0.65904,0.65094,0.45151,1.24128,1.49841,1.15865,0.0099703,0.0099703,0.0099703
5,138.828,1.01509,1.50947,1.06426,0.66146,0.68209,0.74313,0.50591,1.21378,1.39847,1.11381,0.0099604,0.0099604,0.0099604
6,157.971,0.95205,1.36617,1.04716,0.60582,0.68141,0.69765,0.56492,0.78538,1.49486,0.98871,0.0099505,0.0099505,0.0099505
7,177.066,0.91633,1.26658,1.03504,0.81136,0.77515,0.84668,0.66432,0.84572,0.95553,0.99212,0.0099406,0.0099406,0.0099406
8,196.23,0.90147,1.18327,1.03606,0.85026,0.79536,0.88077,0.7536,0.61643,0.86729,0.9249,0.0099307,0.0099307,0.0099307
9,215.316,0.86324,1.12164,1.01837,0.77164,0.74112,0.80598,0.68723,0.63073,1.04823,0.93385,0.0099208,0.0099208,0.0099208
10,234.079,0.8555,1.10063,1.0174,0.63942,0.6201,0.62741,0.50622,0.76416,1.4694,0.97294,0.0099109,0.0099109,0.0099109
11,252.724,0.8405,1.05352,1.01434,0.66619,0.70151,0.76771,0.60591,0.77929,1.31471,0.99324,0.009901,0.009901,0.009901
12,271.532,0.82116,0.99186,1.00938,0.79317,0.72432,0.79398,0.65881,0.68624,1.01295,0.94593,0.0098911,0.0098911,0.0098911
13,296.267,0.81578,0.9733,1.01172,0.87908,0.80479,0.89847,0.787,0.55631,0.70721,0.90723,0.0098812,0.0098812,0.0098812
14,319.546,0.79648,0.91061,0.99717,0.87369,0.83021,0.90643,0.74171,0.74837,0.71488,0.95455,0.0098713,0.0098713,0.0098713
15,338.556,0.80329,0.89054,1.00053,0.79912,0.82205,0.87796,0.73885,0.6687,0.77465,0.93604,0.0098614,0.0098614,0.0098614
16,357.356,0.77751,0.86031,0.99381,0.91008,0.80031,0.90855,0.79991,0.53466,0.66715,0.90749,0.0098515,0.0098515,0.0098515
17,376.021,0.77725,0.82382,0.98724,0.90222,0.82676,0.90662,0.77026,0.63421,0.65182,0.92788,0.0098416,0.0098416,0.0098416
18,394.54,0.75442,0.80419,0.98055,0.8751,0.83994,0.91014,0.78313,0.59755,0.62361,0.92052,0.0098317,0.0098317,0.0098317
19,413.173,0.75817,0.8018,0.98259,0.91595,0.83821,0.91595,0.74559,0.79412,0.6422,0.96553,0.0098218,0.0098218,0.0098218
20,431.97,0.75624,0.78495,0.98117,0.85443,0.78758,0.89072,0.76133,0.58899,0.72106,0.93338,0.0098119,0.0098119,0.0098119
21,450.792,0.7483,0.76787,0.97849,0.93412,0.81813,0.91782,0.77411,0.69647,0.6135,0.93966,0.009802,0.009802,0.009802
22,469.563,0.7364,0.73757,0.97292,0.75087,0.7377,0.82496,0.63721,0.82174,1.03519,1.02411,0.0097921,0.0097921,0.0097921
23,488.626,0.72983,0.74368,0.96974,0.84197,0.7854,0.87098,0.75502,0.56598,0.7647,0.91369,0.0097822,0.0097822,0.0097822
24,507.99,0.71211,0.71882,0.96379,0.91337,0.85104,0.92534,0.81718,0.54356,0.56793,0.90476,0.0097723,0.0097723,0.0097723
25,526.57,0.69792,0.71998,0.96686,0.83808,0.84402,0.89741,0.76562,0.61211,0.67588,0.92299,0.0097624,0.0097624,0.0097624
26,545.684,0.71768,0.68998,0.95854,0.87888,0.85651,0.91172,0.80372,0.52546,0.59115,0.90663,0.0097525,0.0097525,0.0097525
27,564.332,0.70294,0.68095,0.95792,0.89287,0.84061,0.92111,0.82262,0.50536,0.57011,0.89384,0.0097426,0.0097426,0.0097426
28,583.007,0.69093,0.66708,0.95584,0.90268,0.85729,0.93077,0.81312,0.56079,0.53975,0.89635,0.0097327,0.0097327,0.0097327
29,601.783,0.68039,0.66334,0.95306,0.85596,0.82569,0.89828,0.79502,0.50858,0.65708,0.89823,0.0097228,0.0097228,0.0097228
30,620.407,0.68813,0.65839,0.95777,0.86422,0.82715,0.89598,0.80242,0.49066,0.61444,0.88766,0.0097129,0.0097129,0.0097129
31,639.131,0.69595,0.65389,0.959,0.89509,0.84913,0.922,0.8278,0.49759,0.54614,0.8924,0.009703,0.009703,0.009703
32,657.84,0.67574,0.6372,0.95116,0.92572,0.86194,0.9339,0.80653,0.6034,0.54257,0.90961,0.0096931,0.0096931,0.0096931
33,676.38,0.6777,0.64866,0.95408,0.92878,0.86229,0.93258,0.82018,0.564,0.50559,0.89825,0.0096832,0.0096832,0.0096832
34,695.738,0.67768,0.62174,0.95112,0.87074,0.81099,0.89246,0.75778,0.60954,0.69621,0.92052,0.0096733,0.0096733,0.0096733
35,714.3,0.66454,0.62535,0.94675,0.89324,0.84793,0.91842,0.81294,0.52321,0.55477,0.8997,0.0096634,0.0096634,0.0096634
36,733.01,0.66876,0.61236,0.95014,0.90149,0.83799,0.92462,0.83227,0.48706,0.53172,0.89196,0.0096535,0.0096535,0.0096535
37,751.607,0.66019,0.61162,0.94284,0.91262,0.8559,0.93464,0.82819,0.51947,0.50899,0.89248,0.0096436,0.0096436,0.0096436
38,770.328,0.66709,0.61416,0.94717,0.92922,0.85169,0.93282,0.83725,0.47117,0.50251,0.87985,0.0096337,0.0096337,0.0096337
39,789.257,0.64861,0.60701,0.94083,0.91518,0.82696,0.91017,0.82001,0.49066,0.59845,0.8887,0.0096238,0.0096238,0.0096238
40,807.788,0.65159,0.58927,0.94063,0.92288,0.85519,0.93192,0.79591,0.63627,0.52854,0.92518,0.0096139,0.0096139,0.0096139
41,826.504,0.66168,0.59625,0.94729,0.93227,0.87662,0.93976,0.84095,0.50121,0.47158,0.88536,0.009604,0.009604,0.009604
42,845.132,0.64332,0.58212,0.93574,0.87773,0.85876,0.922,0.83177,0.47321,0.5306,0.88171,0.0095941,0.0095941,0.0095941
43,863.743,0.64163,0.58008,0.94087,0.88018,0.84401,0.91776,0.81389,0.52478,0.5485,0.89622,0.0095842,0.0095842,0.0095842
44,882.484,0.65343,0.5763,0.94183,0.93198,0.86453,0.93794,0.82897,0.53341,0.46866,0.89887,0.0095743,0.0095743,0.0095743
45,901.076,0.64158,0.57057,0.94121,0.93171,0.83687,0.928,0.83717,0.47285,0.52226,0.88297,0.0095644,0.0095644,0.0095644
46,919.814,0.63148,0.57053,0.94077,0.93743,0.89246,0.94838,0.84544,0.50744,0.44902,0.89032,0.0095545,0.0095545,0.0095545
47,938.567,0.63695,0.56373,0.93719,0.95561,0.87944,0.95068,0.82854,0.57255,0.44373,0.90146,0.0095446,0.0095446,0.0095446
48,957.28,0.63266,0.55599,0.93301,0.86779,0.82934,0.90806,0.81615,0.48988,0.62588,0.89919,0.0095347,0.0095347,0.0095347
49,976.056,0.6241,0.5562,0.9327,0.91434,0.84575,0.93166,0.84387,0.45198,0.49702,0.88523,0.0095248,0.0095248,0.0095248
50,994.699,0.61859,0.55393,0.93199,0.94648,0.89874,0.94935,0.80497,0.66848,0.45793,0.93417,0.0095149,0.0095149,0.0095149
51,1013.37,0.63745,0.55314,0.93365,0.93093,0.88044,0.94389,0.84456,0.51485,0.4587,0.89128,0.009505,0.009505,0.009505
52,1033.07,0.61799,0.54517,0.93117,0.88587,0.88796,0.93925,0.83497,0.50941,0.50262,0.88623,0.0094951,0.0094951,0.0094951
53,1051.78,0.61968,0.54125,0.93154,0.92175,0.8611,0.94238,0.83918,0.50817,0.48413,0.88597,0.0094852,0.0094852,0.0094852
54,1070.77,0.6132,0.53185,0.93291,0.95003,0.89016,0.95171,0.86109,0.47444,0.4186,0.87499,0.0094753,0.0094753,0.0094753
55,1089.68,0.60304,0.53284,0.92619,0.95515,0.87342,0.9485,0.86302,0.46881,0.41061,0.87551,0.0094654,0.0094654,0.0094654
56,1108.45,0.61368,0.52454,0.93041,0.92648,0.88478,0.93945,0.85461,0.46334,0.45582,0.87607,0.0094555,0.0094555,0.0094555
57,1127.13,0.60813,0.51268,0.92805,0.94256,0.88126,0.94997,0.84095,0.54049,0.42599,0.89186,0.0094456,0.0094456,0.0094456
58,1145.78,0.60622,0.52784,0.92878,0.9101,0.86929,0.93849,0.85774,0.43565,0.45427,0.87154,0.0094357,0.0094357,0.0094357
59,1164.58,0.60465,0.52432,0.92209,0.94751,0.88184,0.95314,0.85552,0.48949,0.41678,0.87868,0.0094258,0.0094258,0.0094258
60,1183.21,0.59759,0.5149,0.91914,0.95334,0.88089,0.94876,0.87603,0.41203,0.41543,0.86093,0.0094159,0.0094159,0.0094159
61,1201.96,0.60481,0.51502,0.92487,0.91961,0.87325,0.94159,0.85572,0.45375,0.45079,0.87353,0.009406,0.009406,0.009406
62,1220.65,0.60205,0.50061,0.92339,0.94325,0.88458,0.95174,0.8556,0.4896,0.41322,0.87524,0.0093961,0.0093961,0.0093961
63,1239.47,0.59147,0.52002,0.92204,0.94857,0.8817,0.94808,0.87333,0.42884,0.41673,0.86642,0.0093862,0.0093862,0.0093862
64,1258.54,0.59908,0.51369,0.92385,0.9165,0.8722,0.94352,0.86605,0.41729,0.44522,0.86375,0.0093763,0.0093763,0.0093763
65,1277.11,0.5966,0.51344,0.9229,0.92966,0.8947,0.95031,0.87312,0.41852,0.40236,0.8643,0.0093664,0.0093664,0.0093664
66,1295.87,0.60336,0.51182,0.92669,0.94865,0.88182,0.94786,0.85923,0.48525,0.43571,0.88598,0.0093565,0.0093565,0.0093565
67,1314.56,0.58863,0.50345,0.92041,0.94899,0.89535,0.9552,0.82302,0.61834,0.42092,0.91165,0.0093466,0.0093466,0.0093466
68,1333.25,0.58465,0.49396,0.91768,0.95434,0.89133,0.95128,0.87122,0.42497,0.39971,0.87071,0.0093367,0.0093367,0.0093367
69,1351.96,0.5837,0.48991,0.91525,0.94627,0.89421,0.95023,0.86752,0.46046,0.39635,0.86946,0.0093268,0.0093268,0.0093268
70,1370.52,0.59454,0.49813,0.92343,0.9398,0.90257,0.9543,0.87199,0.46124,0.38675,0.8677,0.0093169,0.0093169,0.0093169
