epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6064,1.12954,2.66208,1.17639,0.60477,0.7175,0.7231,0.56661,0.89483,1.22452,0.99568,0.00330484,0.00330484,0.00330484
2,110.06,0.98612,1.28737,1.08705,0.63855,0.61407,0.71429,0.56443,0.84394,1.54604,0.99402,0.0066316,0.0066316,0.0066316
3,151.22,0.96354,1.17793,1.06216,0.30252,0.42334,0.35924,0.29957,0.81207,2.78025,0.99505,0.00995177,0.00995177,0.00995177
4,179.974,0.92166,1.04743,1.0515,0.77931,0.71442,0.84512,0.67939,0.80077,0.95998,0.98085,0.0099703,0.0099703,0.0099703
5,209.169,0.88736,0.95852,1.03663,0.63271,0.67934,0.69645,0.58814,0.62986,1.44222,0.95791,0.0099604,0.0099604,0.0099604
6,237.741,0.87071,0.86701,1.03245,0.66415,0.69918,0.7439,0.63523,0.60078,1.14711,0.9321,0.0099505,0.0099505,0.0099505
7,266.287,0.82955,0.7923,1.01434,0.84949,0.7417,0.85669,0.73156,0.60079,0.79583,0.92722,0.0099406,0.0099406,0.0099406
8,295.391,0.81918,0.77049,1.01506,0.89915,0.8084,0.89683,0.74039,0.71044,0.65962,0.95423,0.0099307,0.0099307,0.0099307
9,324.245,0.79295,0.72967,1.00587,0.88871,0.81603,0.89813,0.74453,0.71774,0.66989,0.96871,0.0099208,0.0099208,0.0099208
10,353.059,0.77027,0.72188,0.99492,0.8287,0.74143,0.83051,0.71893,0.58261,0.84259,0.92171,0.0099109,0.0099109,0.0099109
11,381.593,0.76742,0.70015,0.99237,0.87593,0.78274,0.89753,0.79305,0.52958,0.65639,0.92219,0.009901,0.009901,0.009901
12,410.46,0.74135,0.66368,0.98099,0.86542,0.84327,0.91473,0.79853,0.54194,0.59586,0.90436,0.0098911,0.0098911,0.0098911
13,439.397,0.74635,0.66741,0.98815,0.93791,0.84383,0.92948,0.74219,0.81335,0.56288,0.99663,0.0098812,0.0098812,0.0098812
14,468.01,0.72781,0.63175,0.97324,0.93335,0.81798,0.9275,0.82768,0.49919,0.5201,0.89692,0.0098713,0.0098713,0.0098713
15,497.112,0.71766,0.62133,0.96907,0.92474,0.83108,0.92562,0.78486,0.67187,0.59422,0.93483,0.0098614,0.0098614,0.0098614
16,525.715,0.70084,0.61068,0.96707,0.92727,0.86816,0.93997,0.80937,0.60772,0.50248,0.91967,0.0098515,0.0098515,0.0098515
17,554.764,0.70241,0.58531,0.96347,0.94132,0.86203,0.94266,0.83776,0.52941,0.47898,0.88945,0.0098416,0.0098416,0.0098416
18,584.273,0.68015,0.57317,0.95312,0.89326,0.79309,0.89834,0.80444,0.5087,0.62473,0.89397,0.0098317,0.0098317,0.0098317
19,612.871,0.6877,0.58643,0.9604,0.91082,0.86295,0.93701,0.83442,0.51432,0.50356,0.89632,0.0098218,0.0098218,0.0098218
20,641.391,0.67449,0.57833,0.9554,0.89822,0.84181,0.91416,0.82488,0.48746,0.53981,0.90107,0.0098119,0.0098119,0.0098119
21,670.011,0.67148,0.56576,0.95521,0.93588,0.8698,0.93796,0.83868,0.51496,0.46207,0.88442,0.009802,0.009802,0.009802
22,699.034,0.65573,0.54934,0.94577,0.8994,0.85662,0.92939,0.82851,0.49427,0.55704,0.89905,0.0097921,0.0097921,0.0097921
23,727.595,0.65571,0.56557,0.94785,0.92958,0.86028,0.93759,0.84295,0.48772,0.46166,0.88583,0.0097822,0.0097822,0.0097822
24,755.985,0.64383,0.54279,0.94145,0.92869,0.86482,0.94302,0.84321,0.51955,0.45753,0.88976,0.0097723,0.0097723,0.0097723
25,784.402,0.62882,0.53302,0.94299,0.9258,0.88338,0.94197,0.862,0.4367,0.43282,0.87091,0.0097624,0.0097624,0.0097624
26,818.032,0.63772,0.52384,0.93695,0.92703,0.88097,0.94252,0.84419,0.51105,0.4363,0.88291,0.0097525,0.0097525,0.0097525
27,846.227,0.63087,0.51622,0.93779,0.90073,0.87125,0.93136,0.84468,0.4895,0.48806,0.88843,0.0097426,0.0097426,0.0097426
28,874.406,0.61467,0.50468,0.93609,0.94159,0.87268,0.94579,0.87626,0.41272,0.42329,0.87382,0.0097327,0.0097327,0.0097327
29,902.655,0.60831,0.50314,0.92708,0.93023,0.86424,0.94371,0.8578,0.47526,0.45053,0.87392,0.0097228,0.0097228,0.0097228
30,930.768,0.61203,0.50605,0.9336,0.94417,0.87587,0.94712,0.87157,0.42929,0.40461,0.87491,0.0097129,0.0097129,0.0097129
31,960.949,0.62116,0.49931,0.9331,0.90183,0.8583,0.93018,0.86333,0.42288,0.47807,0.87163,0.009703,0.009703,0.009703
32,989.186,0.60319,0.48859,0.93005,0.92325,0.87964,0.94453,0.86591,0.45439,0.43563,0.87986,0.0096931,0.0096931,0.0096931
33,1017.46,0.60073,0.49553,0.93129,0.93867,0.88475,0.9484,0.87595,0.42226,0.43327,0.87459,0.0096832,0.0096832,0.0096832
34,1045.62,0.58953,0.49076,0.92281,0.93287,0.89965,0.95172,0.87722,0.44361,0.40431,0.87118,0.0096733,0.0096733,0.0096733
35,1074.05,0.58819,0.48368,0.92212,0.93083,0.89037,0.95016,0.88236,0.39558,0.39823,0.86624,0.0096634,0.0096634,0.0096634
36,1102.33,0.58414,0.47837,0.92225,0.94405,0.88808,0.9461,0.87607,0.41305,0.42254,0.87311,0.0096535,0.0096535,0.0096535
37,1130.5,0.57871,0.4772,0.91777,0.92241,0.88004,0.94325,0.85205,0.4582,0.42925,0.87947,0.0096436,0.0096436,0.0096436
38,1158.68,0.58881,0.46701,0.92218,0.93694,0.9013,0.95551,0.88787,0.4241,0.38915,0.86876,0.0096337,0.0096337,0.0096337
39,1196.35,0.56715,0.46792,0.9164,0.93164,0.87371,0.94193,0.87022,0.42242,0.44191,0.87659,0.0096238,0.0096238,0.0096238
40,1225.03,0.57166,0.45593,0.91706,0.94383,0.87635,0.94312,0.87345,0.40086,0.43247,0.86789,0.0096139,0.0096139,0.0096139
41,1254.25,0.57918,0.47164,0.92273,0.93114,0.90696,0.95377,0.86565,0.48053,0.40249,0.88422,0.009604,0.009604,0.009604
42,1282.22,0.55792,0.45469,0.91024,0.95177,0.89601,0.95664,0.87951,0.43081,0.37717,0.86793,0.0095941,0.0095941,0.0095941
43,1311.48,0.56398,0.45275,0.91741,0.95329,0.88924,0.95466,0.88423,0.40166,0.38056,0.86514,0.0095842,0.0095842,0.0095842
44,1339.84,0.56317,0.45473,0.91587,0.94174,0.90245,0.95355,0.88235,0.41615,0.37187,0.87307,0.0095743,0.0095743,0.0095743
45,1368.84,0.55667,0.45037,0.91526,0.95518,0.87785,0.95327,0.88575,0.41172,0.37965,0.86538,0.0095644,0.0095644,0.0095644
46,1397.05,0.55613,0.44731,0.91645,0.93791,0.89444,0.95626,0.8863,0.40569,0.37922,0.86496,0.0095545,0.0095545,0.0095545
47,1425.13,0.55438,0.43936,0.91369,0.90737,0.90666,0.95006,0.88341,0.40327,0.39629,0.87113,0.0095446,0.0095446,0.0095446
48,1453.17,0.54914,0.43381,0.90859,0.92826,0.89228,0.94904,0.87924,0.4186,0.388,0.8693,0.0095347,0.0095347,0.0095347
